kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,phos,2050,-17877.13669,,,,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,nitr_splus,2010,-58205.34492,,,,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,nitr_splus,2030,-90909.58358,,,,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,nitr_splus,2050,-111316.1051,,,,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,nitr_sfert,2010,-49194.25919,,,,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,nitr_sfert,2030,-77171.27999,,,,,,,,,,
2100kcal,SSP3,chg,PSC,half_w,TECH_p,nitr_sfert,2050,-94252.50807,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,GHGe,2010,-3314.97592,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,GHGe,2030,-5085.057873,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,GHGe,2050,-6457.819495,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,land,2010,16.12053614,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,land,2030,-1040.048279,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,land,2050,-1736.657929,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,water,2010,58.38631496,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,water,2030,-52.19329757,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,water,2050,-81.10579347,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr,2010,-13208.82557,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr,2030,-23394.84073,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr,2050,-29544.89782,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,phos,2010,-1602.005815,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,phos,2030,-3342.347451,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,phos,2050,-4386.325811,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr_splus,2010,-16909.93467,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr_splus,2030,-32634.96609,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr_splus,2050,-41215.82444,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr_sfert,2010,-6916.28829,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr_sfert,2030,-17578.82033,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,BMK,nitr_sfert,2050,-23045.43606,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,GHGe,2010,-3482.064183,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,GHGe,2030,-5210.524673,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,GHGe,2050,-6710.711595,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,land,2010,16.12053614,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,land,2030,-4309.699719,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,land,2050,-7391.863275,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,water,2010,58.38631496,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,water,2030,-566.6229983,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,water,2050,-916.6129273,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr,2010,-13208.82557,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr,2030,-24513.09991,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr,2050,-30588.41076,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,phos,2010,-1602.005815,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,phos,2030,-3570.897007,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,phos,2050,-5273.183459,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr_splus,2010,-16909.93467,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr_splus,2030,-40420.55675,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr_splus,2050,-52003.55555,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr_sfert,2010,-6916.28829,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr_sfert,2030,-25364.411,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH,nitr_sfert,2050,-33833.16717,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,GHGe,2010,-3526.186834,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,GHGe,2030,-5243.691187,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,GHGe,2050,-6771.044688,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,land,2010,-130.7512019,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,land,2030,-4923.958172,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,land,2050,-9527.904442,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,water,2010,58.34237464,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,water,2030,-567.1297726,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,water,2050,-916.8744015,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr,2010,-40350.31335,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr,2030,-57572.55395,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr,2050,-67961.94923,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,phos,2010,-9725.385114,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,phos,2030,-13528.99777,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,phos,2050,-16140.57747,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr_splus,2010,-44737.81733,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr_splus,2030,-75355.71288,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr_splus,2050,-94373.90557,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr_sfert,2010,-34744.17095,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr_sfert,2030,-60299.56712,,,,,,,,,,
2100kcal,SSP3,chg,VEG,full_w,TECH_p,nitr_sfert,2050,-76203.51719,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,GHGe,2010,-3561.901082,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,GHGe,2030,-5406.601701,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,GHGe,2050,-6841.224935,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,land,2010,-1676.329092,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,land,2030,-3250.487327,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,land,2050,-4372.715973,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,water,2010,-191.7192881,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,water,2030,-382.9351812,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,water,2050,-477.2795228,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr,2010,-29989.70073,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr,2030,-44110.66543,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr,2050,-52855.09313,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,phos,2010,-4433.313729,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,phos,2030,-6838.896668,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,phos,2050,-8282.994608,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr_splus,2010,-33154.34198,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr_splus,2030,-52141.68443,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr_splus,2050,-62893.07105,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr_sfert,2010,-25528.6902,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr_sfert,2030,-40773.27388,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,BMK,nitr_sfert,2050,-49165.9306,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,GHGe,2010,-3711.362611,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,GHGe,2030,-5519.874555,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,GHGe,2050,-7070.300885,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,land,2010,-1676.329092,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,land,2030,-6081.921833,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,land,2050,-9255.537451,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,water,2010,-191.7192881,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,water,2030,-824.9056351,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,water,2050,-1190.637726,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr,2010,-29989.70073,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr,2030,-44980.13125,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr,2050,-53615.27426,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,phos,2010,-4433.313729,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,phos,2030,-7018.560528,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,phos,2050,-9022.072204,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr_splus,2010,-33154.34198,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr_splus,2030,-59303.14271,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr_splus,2050,-72863.612,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr_sfert,2010,-25528.6902,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr_sfert,2030,-47934.73216,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH,nitr_sfert,2050,-59136.47154,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,GHGe,2010,-3750.555671,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,GHGe,2030,-5549.560083,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,GHGe,2050,-7124.356668,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,land,2010,-1803.583447,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,land,2030,-6611.524383,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,land,2050,-11104.30572,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,water,2010,-191.8367285,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,water,2030,-825.4430208,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,water,2050,-1190.948067,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr,2010,-52096.92596,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr,2030,-71899.47589,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr,2050,-84080.75368,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,phos,2010,-11141.03907,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,phos,2030,-15252.82953,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,phos,2050,-18015.02185,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr_splus,2010,-55964.56766,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr_splus,2030,-88159.85526,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr_splus,2050,-108213.4499,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr_sfert,2010,-48338.91588,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr_sfert,2030,-76791.44472,,,,,,,,,,
2100kcal,SSP3,chg,VEG,half_w,TECH_p,nitr_sfert,2050,-94486.30941,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,GHGe,2010,-3871.382428,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,GHGe,2030,-5926.215634,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,GHGe,2050,-7491.750796,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,land,2010,-28.15570906,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,land,2030,-1068.256373,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,land,2050,-1803.771958,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,water,2010,162.5637797,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,water,2030,91.50320448,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,water,2050,93.90511179,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr,2010,-13942.90934,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr,2030,-23874.79491,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr,2050,-30522.37304,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,phos,2010,-1851.435045,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,phos,2030,-3575.668106,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,phos,2050,-4760.978803,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr_splus,2010,-13955.96471,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr_splus,2030,-27646.73649,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr_splus,2050,-35686.66124,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr_sfert,2010,-9507.168754,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr_sfert,2030,-20004.7891,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,BMK,nitr_sfert,2050,-26354.3488,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,GHGe,2010,-3980.516153,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,GHGe,2030,-5998.22186,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,GHGe,2050,-7631.163571,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,land,2010,-28.15570906,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,land,2030,-4389.160194,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,land,2050,-7524.612365,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,water,2010,162.5637797,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,water,2030,-468.9623664,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,water,2050,-825.9388658,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr,2010,-13942.90934,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr,2030,-24874.84078,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr,2050,-31355.24015,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,phos,2010,-1851.435045,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,phos,2030,-3779.886142,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,phos,2050,-5512.001542,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr_splus,2010,-13955.96471,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr_splus,2030,-35238.43532,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr_splus,2050,-46289.35937,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr_sfert,2010,-9507.168754,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr_sfert,2030,-27596.48793,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH,nitr_sfert,2050,-36957.04693,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,GHGe,2010,-4010.750975,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,GHGe,2030,-6018.919034,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,GHGe,2050,-7668.815236,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,land,2010,-171.0093504,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,land,2030,-5001.494393,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,land,2050,-9689.050334,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,water,2010,162.6274442,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,water,2030,-469.310521,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,water,2050,-826.0148576,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr,2010,-40864.17198,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr,2030,-57825.77256,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr,2050,-68498.72981,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,phos,2010,-9850.099729,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,phos,2030,-13633.49234,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,phos,2050,-16259.98652,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr_splus,2010,-41535.62471,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr_splus,2030,-69788.60929,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr_splus,2050,-87779.37429,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr_sfert,2010,-37086.82876,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr_sfert,2030,-62146.66189,,,,,,,,,,
2100kcal,SSP3,chg,VGN,full_w,TECH_p,nitr_sfert,2050,-78447.06185,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,GHGe,2010,-4112.583794,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,GHGe,2030,-6240.218001,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,GHGe,2050,-7866.658448,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,land,2010,-1753.112547,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,land,2030,-3328.544652,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,land,2050,-4496.258679,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,water,2010,-102.8835093,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,water,2030,-261.3451212,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,water,2050,-328.9108958,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr,2010,-31157.97259,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr,2030,-45327.97274,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr,2050,-54683.72466,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,phos,2010,-4758.966582,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,phos,2030,-7199.998171,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,phos,2050,-8803.512467,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr_splus,2010,-30720.06446,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr_splus,2030,-47999.77912,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr_splus,2050,-58334.01029,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr_sfert,2010,-28465.27292,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr_sfert,2030,-43839.44558,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,BMK,nitr_sfert,2050,-53218.07011,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,GHGe,2010,-4205.118787,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,GHGe,2030,-6300.8751,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,GHGe,2050,-7983.927254,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,land,2010,-1753.112547,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,land,2030,-6197.979084,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,land,2050,-9426.015149,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,water,2010,-102.8835093,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,water,2030,-743.1707754,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,water,2050,-1116.033193,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr,2010,-31157.97259,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr,2030,-46081.29401,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr,2050,-55237.09919,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,phos,2010,-4758.966582,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,phos,2030,-7355.704741,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,phos,2050,-9408.906191,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr_splus,2010,-30720.06446,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr_splus,2030,-54980.5833,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr_splus,2050,-68137.62045,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr_sfert,2010,-28465.27292,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr_sfert,2030,-50820.24976,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH,nitr_sfert,2050,-63021.68028,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,GHGe,2010,-4230.792477,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,GHGe,2030,-6318.366409,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,GHGe,2050,-8015.767177,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,land,2010,-1875.954459,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,land,2030,-6723.03054,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,land,2050,-11291.69327,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,water,2010,-102.899299,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,water,2030,-743.556598,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,water,2050,-1116.166452,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr,2010,-52914.71626,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr,2030,-72670.28982,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr,2050,-85216.03114,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,phos,2010,-11303.8655,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,phos,2030,-15421.40164,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,phos,2050,-18208.43884,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr_splus,2010,-53151.25045,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr_splus,2030,-83231.70675,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr_splus,2050,-102359.8508,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr_sfert,2010,-50896.4589,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr_sfert,2030,-79071.3732,,,,,,,,,,
2100kcal,SSP3,chg,VGN,half_w,TECH_p,nitr_sfert,2050,-97243.91068,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,GHGe,2010,-664.5730127,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,GHGe,2030,-1597.114258,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,GHGe,2050,-2070.822948,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,land,2010,686.7142625,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,land,2030,-215.4090569,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,land,2050,-625.3466753,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,water,2010,1.276916848,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,water,2030,-123.9377848,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,water,2050,-163.5029355,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,nitr,2010,-5313.550112,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,nitr,2030,-13670.95997,,,,,,,,,,
2100kcal,SSP3,chg,FLX_hmilk,full_w,BMK,nitr,2050,-16138.77439,,,,,,,,,,
