kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr,2030,113138.267,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr,2050,131958.4635,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,phos,2010,15001.88795,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,phos,2030,19869.906,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,phos,2050,23239.5351,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr_splus,2010,117511.0532,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr_splus,2030,151742.4467,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr_splus,2050,176576.1473,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr_sfert,2010,112813.5259,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr_sfert,2030,147420.0334,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,BMK,nitr_sfert,2050,171005.7235,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,GHGe,2010,4376.324012,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,GHGe,2030,6747.287917,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,GHGe,2050,8297.862551,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,land,2010,10885.77007,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,land,2030,11934.89346,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,land,2050,12727.6323,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,water,2010,1575.992999,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,water,2030,1732.052062,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,water,2050,1883.90457,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr,2010,86793.33988,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr,2030,110850.7748,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr,2050,128493.7524,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,phos,2010,15001.88795,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,phos,2030,19415.74809,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,phos,2050,21533.74877,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr_splus,2010,117511.0532,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr_splus,2030,144400.5918,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr_splus,2050,165628.7138,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr_sfert,2010,112813.5259,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr_sfert,2030,140078.1785,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH,nitr_sfert,2050,160058.29,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,GHGe,2010,4259.497239,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,GHGe,2030,6651.757714,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,GHGe,2050,8116.544364,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,land,2010,10803.13311,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,land,2030,11668.04229,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,land,2050,11341.49527,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,water,2010,1575.54208,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,water,2030,1731.258385,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,water,2050,1883.247855,,,,,,,,,,
